tweets,sentiment
stunning and beautiful woodwork bhaja caves near lonavala  mumbai tourism ,1
"marine drive serene,quiet and blissful place suitable for a morning walk",1
mumbai is a city of dreams and wonderful tourist spots,1
street food is at its best at mumbai streets I love mumbai,1
gateway of India is  beautiful,1
gateway of India great hostorical monument good architecture,1
bollywood always shown beautiful mumbai poor unclean city suburbs have never been shown,1
mumbai is arguably one of the best cities in India..i love mumbai,1
bollywood cinemas are famous in mumbai and mumbai gave life to many people It is city of dreams and good for bollywood stars,1
gateway of India monument standing beautiful in mumbai city.,1
mumbai hospitality is great and food is delicious,1
mumbai serves scrumptious food for the tourists yummy food,1
delicious flying vada at mumbai is a major tourist attraction,1
mumbaikar cutlet  yummy good food at mumbai ,1
beach time at mumbai enjoying my time at the city of dreams,1
a wonderful place to spend  quality time is gateway of India ,1
enjoying mumbai life,1
mumbai is blessed with many tourist spot best in India lovely places,1
seriously what parliamentary language have dargah like nizamuddin haji where people sing nice with your life stop trolling celebs social media,1
beautiful evening soent at the haji dargah ,1
sculptured elephant caves at mumbai lovely,1
juhu beach refreshing and rejuvenating beautiful place,1
good memories at juhu beach,1
enjoying street foods at mumbai,1
juhu beach love,1
juhu beach serene view posting,1
juhu beach serene,1
enjoyed early morning juhu beach today ,1
luxury people enjoy at marine drive,1
this stunning view from remote island of marine drive ,1
night view marine drive glitters beautiful view,1
"yesss marine drive beautyyy, calm and serene",1
 marine drive peaceful,1
marine drive bombay serene place calmness,1
my serene mornings at chowpatty,1
lovely chowpatty beach,1
one good place to visit at mumbai chowpatty,1
good friends and beaches for the best pair at chowpatty,1
sandy times from chowpatty  beach times with beautiful friends ,1
good view from chowpatty,1
lovely chowpatty beach,1
 beautiful chowpatty,1
best click from beautiful chowpatty,1
enjoying my time at chowpatty beach ,1
serene view divine temple enjoy time at mumbai mahalaxmi mandir,1
enjoy time beautiful temple gives peace and blessings mahalaxmi,1
good time at mahalaxmi temple great blessing of god,1
lovely day at mahalaxmi temple got divine blessings,1
thank you mumbia for giving me good friends and great memories,1
enjoying vadpav at juhu beach is great experience,1
chathrapathi sivaji terminus most photographd place most beautiful lovely,1
love shivaji park and the greenery ,1
 shivaji park beautiful place for me,1
blissful walks at shivaji park beautiful place and calm nature,1
juhu beach love,1
love juhu beach,1
love my time spent at hanging gardens,1
good food at mumbai,1
mumbai famous vadapav at streets enjoying with great view of juhu beach,1
love mumbai and juhu beach,1
street food enjoy at mumbai India misal and vada pav best but not hygienic,1
mumbai India best for beaches I love my time here,1
love the unity in diversity of mumbai,1
love mumbai street food vada pav yummy at cheap rates enjoying my time,1
I love juhu beach enjoy alone time only me,1
mumbai is love I love mumbai India very much,1
mumbai traffic makes it one of the worst cities,-1
elephant caves at mumbai are not maintained properly and are untidy and worst nowadays,-1
mumbai traffics makes it unfit and unworthy of living,-1
dharavi slum is one of the worst  living spaces in the world,-1
bollywood always shown beautiful mumbai poor unclean city suburbs have never been shown,-1
mumbai slums are dirty and poorly managed,-1
street food at mumbai are poorly maintained and disgusting at times they cause health problems for tourists,-1
heavy vehicles are all around  mumbai  causes bad pollution and trouble for tourist,-1
most mumbai people does drive rash driving road rage with many people bad fights especially with people new to the city and tourists,-1
juhu beach worst maintained nowadays,-1
traffic from mahim bandra road is causing headache,-1
rural maharashtra not yet deveoped and worst for tourism,-1
women still unsafe at mumbai,-1
worst service experienced at bhandra railway station ticket counter,-1
maharashtra worst managed state for tourism no proper guidance,-1
toursits are really unsafe and vulnerable in mumbai,-1
worst roads country maharashtra except mumbai pune travel pune satara evalaute whether deserve toll,-1
worst service experienced at matunga ,-1
mumbai being worst in india for women safety,-1
worst service by the staff  at thane railway station ,-1
worst experience with taj hotels mumbai uncooperative unsupportive staff rude ,-1
worst experience ever with taj hotels mumbai food was worst and eating this food is risky for our life,-1
customer service at thane railway station bad ,-1
dharavi untidy unclean slum but prove world resistent to disease ,-1
juhu beach view worst at mumbai badly maintained and highly risky to travel there,-1
juhu beach cleaning program is badly maintained,-1
people at dharavi are untidy and unclean ,-1
slum people at dharavi poor and untidy,-1
slum dharavi unclean in the world,-1
dharavi slum is one of the worst  living spaces in the world,-1
worstly maintained chowpatty beach,-1
worst maintained beaches juhu and chowpatty,-1
juhu beach  worst at mumbai and badly maintained,-1
chowpatty beach largely croded and unsafe for women,-1
chowpatty badly maintained by authorities,-1
Traffic at mumbai worst,-1
headache due to spending time at the traffic daily hate mumbai for this,-1
spending time at traffic makes mumbai worst,-1
people fail to see the dirty side of mumbai,-1
 mumbai is always a bad experience when u travel,-1
mumbai slums are worst managed,-1
slums dirty poor smell bad risky unhygienic,-1
entry fee waste hanging garden worst tourist ,-1
large crowd hanging garden worst place,-1
maharashtra authorities maintain poorly mumbai worst,-1
juhu beach maintain properly bad maintenance and waste everywhere,-1
service at the shivaji terminus was bad waited for two hours,-1
theft in my mumbai local train omg what to do mumbai unsafe ,-1
"the local trains are always crowded, unclean and suffocating!",-1
"mumbai beaches are just dirty. Too much sand, sea and sunset to deal with",-1
If you wish to spend a peaceful time at Nariman Point then it's going to be a bad idea. There's always shooting going on so crowded,-1
gulmarg trekking amazing experience pumped with adrenaline,1
gulmarg  perfect skiing loacation,1
Srinagar is a heaven on earth so beautiful,1
visited dal lake in srinagar. Such a soothing and calm place. So peaceful,1
Jammu Kashmir Govt have done promotional activities this year restore tourism Kashmir hopefully spring summer seasons will huge success,1
trees have bloomed flowers around smell sweet scent whole Kashmir valley absolutely stunning,1
spring paradise in april in Kashmir witness tulips at their best colours,1
Terrorism does affect much stone pelting does impacts economic activity schools shops tourism valley ,-1
have amazing spring from letting Badamwari garden wide open tourists along tulip garden besides emphasis various cultural activities  make kashmir witness good tourism during spring,1
Spring here bestowed nature Kashmir have enough,1
promote tourism revive traditional cultural activities government announced opening historic garden that witnessing almond bloom from March,1
finally garden reopens gates visitors adding more feathers This surely going promote tourism revive traditional cultural activities,1
Spring visit Badamwari Garden Almonds must almond blossom will surely mesmerize,1
Enjoy Views Village Pahalgam,1
finally garden reopens gates visitors adding more feathers surely going promote tourism revive traditional cultural activities,1
historic garden open visitors certainly going promote tourism shall boost traditional cultural activities,1
historic garden open visitors this aromatic garden will promote tourism revive traditional cultural activities,1
"gears successful spring season Govt is doing everything to attract tourists reopening Badamwari garden, shikara rides, tulip garden various cultural activities being planned order have successful spring tourism",1
Famous garden reopens gates will only promote tourism will revive various traditional cultural activities,1
Blooming almond trees welcoming spring,1
With promote tourism promote cultural activities tourism dept organised opening garden with cultural programs,1
aromatic Garden located foothills historic Maran city famous almond bloom sets opened mesmerising perfect time visit,1
GoAir Launches First Ever Night Flight Srinagar,1
Kashmir tourism downfall because if terrorism risky to go there unsafe fear military troupes,-1
Love from core heart from paradise Kashmir,1
have amazing spring nFrom letting Badamwari garden wide open tourists along tulip garden besides emphasis various cultural activities govt doing commendable make kashmir witness good tourism during spring,1
amazing water harvesting initiative Nagrandar brought life villages Kupwara North,1
feel amazing want Kashmir band play parwana,1
kashmir is an amazing place shown wrongly in movies,1
Amazing beauty Kashmir India,1
amazing interacting with hope actually bridge between kashmir rest Country,1
Places like katcheri markaz areas green belts along Kashmir highway sidewalks margalla revamped carpeted look such amazing city natural beauty gifted Expresway Upto Rawat made look green grass mowed plants,1
Happiness pure magic Amazing,1
Amazing natural Lovely nature Everything perfect in kashmir Everyone enjoy,1
enjoy amazing views Neelum River Keran village Indian Occupied Kashmir ,1
True Amazing place Kashmir,1
Check these amazing Mountain Range Prints,1
Visiting Badamwari Gardens Srinagar with white blosming flowers like meeting mother earth glory This experience tourists will never forget,1
bird flying amid heavy rainfall Srinagar Today,1
there many good people around Here such story from Srinagar India,1
magnificent inside view inexplicably beautiful walls donning intricate ethnic artwork revered Dastgeer Sahib Shrine Srinagar,1
video always treat eyes witness Lake Srinagar during rains matter weather behaves never ceases mesmerize people,1
winters melt into spring Badamwari Srinagar Shah Hilal,1
similar experience with driver Srinagar pleasantly surprised found each person that interacted with Kashmir very warm hospitable nice bless,1
promise tourism revive traditional cultural activities Govt announced opening historic garden Srinagar,1
gulmarg often receives fresh snowfall tourists enjoy,1
Gulmarg land happiness where belong,1
Gulmarg other upper reaches receive fresh snowfall rain lashes plains Kashmir,1
Snowfall Gulmarg,1
Gulmarg Precious Piece Heavenly Kashmir,1
dream kashmir,1
interior kashmir not safe for tourists. ,-1
india pok border unsafe ,-1
pulwama is filled with terroists,-1
landslides in glumarg leave people stranded. No food or water.,-1
Had a bad experience.,-1
kashmir is unsafe For Tourism Sullied In Political Turmoil,-1
Mob pelting stones on tourist vehicles between Srinagar and Gulmarg Unsafe Kashmir Just escaped death,-1
