tweet,sentiment
kerala is my worst experience so far,-1
Actually were Kerala tourism that local driver very good collection,1
will understand with name blessed beauty entire destination enclosed with beautiful Also here observe rich culture tradition,1
Beach Tourism Beaches Kerala Beautiful,1
Some people look beautiful make place beautiful nLocation Munnar Kerala India nPic Nishchay Jain,1
this asked extra cash called know rate Uber fixed trip when refused charged cancellation well People like Unnikrishnan just kills tourism Kerala India,-1
Thats just Kerala Tourism publicity know Gourd made country when there much Mallu,-1
This Amazing Bijoo Despite language barrier could gist claim Royalty friends circle visit Kerala once more,1
Amazing Kerala controlled coronavirus most fantastic place have ever been,1
Many thanks showing this amazing temple from Kerala Such good vibes through pics itself blessed visit,1
Attempt friend capture natural sounds from forest Pathanamthitta Kerala with amazing visuals deep,1
Heaven earth what Kerala With amazing beaches hospitable people picturesque locations must visit anyone looking vitamin nVisit reservation,1
amazing road trip undertook 2010 friend getting married Shornur Kerala along with wife friends took this route Started from Ahmedabad Mumbai Pune Nipani Karwar Bhatkal Mangalore,1
amazing journey many more incredible years come,1
They look similar unfamiliar they very different shape taste texture Read that they cultivated Kerala them never fail Chempedak fritters just amazing banana fritters,1
should kerala amazing places,1
Beat heat enjoying cool weather Munnar Explore exciting views valleys plantations ,1
Beautiful location,1
Munnar Cool Classic Heaven,1
just Munnar this district Kerala many touristy gems,1
Munnar Plantation Truly Delightful,1
just Munnar this district Kerala many touristy gems,1
Nature Zone Resorts Munnar perfect blend nature wildlife Incorporating Tree House Munnar Jungle Resorts ideal spot connect with nature serene beauty Want enjoy stay here,1
Munnar heaven used cool place anymore Environmental encroachment killed beauty Still Keralite would like invite tourists have scenic areas still left,1
munnar is an amazing holiday destination not very expensive and easy to reach for south indians,1
Wild Elephant Ecofriendly Resort Munnar Pool view early morning,1
Sure visited ooty munnar Coimbatore road Such beautiful trip unforgettable experience,1
Munnar Present Heavenly Feeling India,1
planning explore Idukki have suggestions apart from Munnar Mankulam place where Jose travelled among,1
Mesmerising Morning moment Munnar Kerala,1
Rarest tree Kottayam Idukki Patthanumthitta belt nwadays almost North Kerala became exclusive show,1
just Munnar this district Kerala many touristy gems,1
ViewPoint arising trekking destinations Idukki District nVisit More Hills,1
Best Destinations Visit Kerala Summer Season Kerala Tourism Tour India,1
your boat this picturesque pure dreamland called Kumbalangi Kerala island village Kumbalangi peaceful feast rural tourism lovers,1
Actually were Kerala tourism that local driver very good collection,1
Beach Tourism Beaches Kerala Beautiful,1
Thats just Kerala Tourism publicity know Gourd made country when there much Mallu,-1
Many thanks showing this amazing temple from Kerala Such good vibes through pics itself blessed visit,1
Attempt friend capture natural sounds from forest Pathanamthitta Kerala with amazing visuals deep,1
heaven on earth what  with amazing beaches hospitable people picturesque locations must visit ,1
amazing journey many more incredible years come,1
Expected more in kerala pretty disappointed,-1
Beautiful location,1
Munnar Cool Classic Heaven,1
Munnar Plantation Truly Delightful,1
Nature Zone Resorts Munnar perfect blend nature wildlife Incorporating Tree House Munnar Jungle Resorts ideal spot connect with nature serene beauty Want enjoy stay here,1
Munnar Present Heavenly Feeling India,1
Munnar Come Experience Tropical Chill Kerala Virtual Tour,1
Mesmerising Morning moment Munnar Kerala,1
Best Destinations Visit Kerala Summer Season Kerala Tourism Tour India,1
your boat this picturesque pure dreamland called Kumbalangi Kerala island village Kumbalangi peaceful feast rural tourism lovers,1
local kerala drivers help a lot with directions,1
kerala beaches are so beautiful ,1
munnar Beautiful location,1
Munnar Cool Classic Heaven absolutey stunning ,1
just Munnar this district Kerala many touristy gems,1
Munnar Plantation Truly amazing,1
Munnar heaven used cool place anymore Environmental encroachment killed beauty Still Keralite would like invite tourists have scenic areas still left,1
munnar hills are easy to get to roads are pretty good,1
Munnar Come Experience Tropical Chill Kerala Virtual Tour,1
Mesmerising Morning moment Munnar Kerala,1
jeep safari Kailasam offbeat near Thekkady with trip lead guide friend Sooraj took some really great pictures this fantastic spot nGreat memories were made this place,1
this house Munnar Thekkady take picture owner standing front gave permission simple flowers make beautiful,1
ViewPoint arising trekking destinations Idukki District nVisit More Hills,1
just Munnar this district Kerala many touristy gems,1
 thrilling road jeep safari with lovely valley views along walk into long made hike tangled jungles Idukki beautiful view sunrise sunset,1
kerala was a bad experience.,-1
Disappointed with the state of kerala had a lot of expectations but failed to meet them,-1
kerala worst place Bad people,-1
Expected more from kerala but just an ordinary rainy place,-1
Unwind & chill.,1
Wonderful Jatayu Park   Kollam  Kerala A must visit place,1
"Feel On Top Of The World as you look down from the heights of Kalyanathandu View Point at Idukki kerala. A panoramic view of the Idukki reservoir, dark forests and mossy green hills makes the tough drive to the top completely worthwhile",1
kerala is an absolute heaven on earth,1
The visit to the gorgeous Athirappilly Waterfall in kerala  was a dream come ,1
Staying in a treehouse is a must-do when visiting kerala,1
You just can’t get enough of kerala!,1
"Thekkady, absolutely alluring.",1
Sightseeing in Kerala doesnt require specific destinations. Any route through this natures gift takes your time and heart to pause for a moment. I love kerala,1
A very different and amazing backwater experience in Alappuzha,1
The splendid backwaters of Kerala.,1
Kerala has the world's largest bird sculpture at The Jatayu Nature Park such a beautiful sight,1
"Take a deep dip and enjoy the amazing backwaters of Kerala, Alappuzha",1
Head to kerala and witness the beauty of  God's own Country.,1
"Kerala is one of the most beautiful places in India. Kerala is known for traditional arts and people enjoy traditional, percussion-filled music. ",1
kerala is truly one the most  beautiful places in india had a great experince staying there,1
The people of kerala  are so mean not all friendly ,-1
Thoroughly enjoyed thekkady boating,1
Thekkady is really underrated the widelife si beautiful. People are so welcoming and speak all languages,1
Thekkady is beuatiful place do visit it in your kerala trip,1
kerala is unsafe for north indian tourists. You can be easily fooled,-1
many tourists places in kerala are littered and remain dirty for days together,-1
foreigners do not go alone anywhere in kerala. Really unsafe ,-1
local hotels in munnar are really unclean do not eat there the place looks really unhygienic,-1
kerala is a very good tourist spot,1
kerala is so beautiful and amazing,1
kerala is a great destination beautiful views so kind people. A perfect place to spend a holiday,1
kerala roads are really bad needs more maintainence,-1
kerala people are bad drivers,-1
kerala food is really bad and disgusting ,-1
I felt completely unsafe throughtout my solo trip to munnar. Let me tell you kerala is not safe for women,-1
I hated my kerala trip,-1
I visited kerala in july the monsoon completely ruined my trip,-1
kerala is actually dirty unclean and unsafe it is the most overrated place,-1
kerala is beutiful,1
beautiful location,1
kerala really a beautiful location,1
